timestamp,orig_cadence,frac,cadence_raw,cadence_spm,enhanced_speed,heart_rate,step_length
2026-07-06 06:13:57+00:00,50,0.0,50.0,100.0,1.278,91,0.77
2026-07-06 06:13:58+00:00,50,0.0,50.0,100.0,1.26,92,0.76
2026-07-06 06:13:59+00:00,50,0.0,50.0,100.0,1.857,91,1.11
2026-07-06 06:14:00+00:00,0,0.0,0.0,0.0,1.959,91,
2026-07-06 06:14:01+00:00,85,0.5,85.5,171.0,2.389,90,
2026-07-06 06:14:02+00:00,88,0.0,88.0,176.0,2.613,90,0.91
2026-07-06 06:14:03+00:00,88,0.0,88.0,176.0,2.613,90,0.89
2026-07-06 06:14:04+00:00,88,0.0,88.0,176.0,2.65,90,0.9
2026-07-06 06:14:05+00:00,89,0.5,89.5,179.0,2.65,89,0.88
2026-07-06 06:14:06+00:00,89,0.5,89.5,179.0,2.678,89,0.89
2026-07-06 06:14:07+00:00,89,0.5,89.5,179.0,2.678,90,0.89
2026-07-06 06:14:08+00:00,89,0.5,89.5,179.0,2.678,91,0.89
2026-07-06 06:14:09+00:00,89,0.5,89.5,179.0,2.566,92,0.85
2026-07-06 06:14:10+00:00,89,0.5,89.5,179.0,2.473,93,0.82
2026-07-06 06:14:11+00:00,89,0.5,89.5,179.0,2.454,93,0.82
2026-07-06 06:14:12+00:00,87,0.0,87.0,174.0,2.435,94,0.82
2026-07-06 06:14:13+00:00,86,0.5,86.5,173.0,2.454,95,0.85
2026-07-06 06:14:14+00:00,86,0.5,86.5,173.0,2.463,95,0.85
2026-07-06 06:14:15+00:00,86,0.5,86.5,173.0,2.482,95,0.85
2026-07-06 06:14:16+00:00,86,0.5,86.5,173.0,2.482,95,0.85
2026-07-06 06:14:17+00:00,89,0.5,89.5,179.0,2.482,96,0.84
2026-07-06 06:14:18+00:00,90,0.5,90.5,181.0,2.463,97,0.83
2026-07-06 06:14:19+00:00,90,0.5,90.5,181.0,2.435,98,0.8
2026-07-06 06:14:20+00:00,90,0.5,90.5,181.0,2.435,98,0.8
2026-07-06 06:14:21+00:00,90,0.5,90.5,181.0,2.435,99,0.8
2026-07-06 06:14:22+00:00,88,0.5,88.5,177.0,2.435,100,0.82
2026-07-06 06:14:23+00:00,88,0.5,88.5,177.0,2.426,100,0.82
2026-07-06 06:14:24+00:00,88,0.0,88.0,176.0,2.417,101,0.81
2026-07-06 06:14:25+00:00,88,0.0,88.0,176.0,2.249,101,0.77
2026-07-06 06:14:26+00:00,88,0.0,88.0,176.0,2.249,102,0.77
2026-07-06 06:14:27+00:00,88,0.0,88.0,176.0,2.165,102,0.74
2026-07-06 06:14:28+00:00,86,0.0,86.0,172.0,2.127,102,0.73
2026-07-06 06:14:29+00:00,85,0.0,85.0,170.0,2.146,102,0.75
2026-07-06 06:14:30+00:00,85,0.0,85.0,170.0,2.118,102,0.75
2026-07-06 06:14:31+00:00,85,0.0,85.0,170.0,2.118,102,0.75
2026-07-06 06:14:32+00:00,86,0.0,86.0,172.0,2.071,103,0.72
2026-07-06 06:14:33+00:00,88,0.0,88.0,176.0,2.062,103,0.71
2026-07-06 06:14:34+00:00,88,0.0,88.0,176.0,2.071,103,0.71
2026-07-06 06:14:35+00:00,88,0.0,88.0,176.0,2.09,103,0.71
2026-07-06 06:14:36+00:00,88,0.0,88.0,176.0,2.099,104,0.71
2026-07-06 06:14:37+00:00,87,0.0,87.0,174.0,2.099,104,0.72
2026-07-06 06:14:38+00:00,87,0.0,87.0,174.0,2.099,104,0.72
2026-07-06 06:14:39+00:00,87,0.0,87.0,174.0,2.099,104,0.72
2026-07-06 06:14:40+00:00,87,0.5,87.5,175.0,2.099,105,0.72
2026-07-06 06:14:41+00:00,87,0.5,87.5,175.0,2.099,105,0.71
2026-07-06 06:14:42+00:00,88,0.5,88.5,177.0,2.118,105,0.71
2026-07-06 06:14:43+00:00,89,0.5,89.5,179.0,2.137,106,0.72
2026-07-06 06:14:44+00:00,89,0.5,89.5,179.0,2.137,106,0.71
2026-07-06 06:14:45+00:00,89,0.5,89.5,179.0,2.127,106,0.71
2026-07-06 06:14:46+00:00,89,0.5,89.5,179.0,2.127,106,0.71
2026-07-06 06:14:47+00:00,89,0.5,89.5,179.0,2.127,107,0.71
2026-07-06 06:14:48+00:00,89,0.0,89.0,178.0,2.127,107,0.72
2026-07-06 06:14:49+00:00,88,0.5,88.5,177.0,2.118,108,0.71
2026-07-06 06:14:50+00:00,88,0.5,88.5,177.0,2.118,108,0.71
2026-07-06 06:14:51+00:00,89,0.0,89.0,178.0,2.118,108,0.71
2026-07-06 06:14:52+00:00,89,0.0,89.0,178.0,2.118,109,0.71
2026-07-06 06:14:53+00:00,89,0.0,89.0,178.0,2.127,109,0.72
2026-07-06 06:14:54+00:00,87,0.0,87.0,174.0,2.127,109,0.73
2026-07-06 06:14:55+00:00,87,0.0,87.0,174.0,2.137,110,0.74
2026-07-06 06:14:56+00:00,88,0.0,88.0,176.0,2.127,110,0.73
2026-07-06 06:14:57+00:00,88,0.0,88.0,176.0,2.137,110,0.73
2026-07-06 06:14:58+00:00,88,0.0,88.0,176.0,2.137,111,0.73
2026-07-06 06:14:59+00:00,87,0.5,87.5,175.0,2.146,111,0.73
2026-07-06 06:15:00+00:00,89,0.0,89.0,178.0,2.146,111,0.73
2026-07-06 06:15:01+00:00,89,0.0,89.0,178.0,2.137,111,0.72
2026-07-06 06:15:02+00:00,89,0.0,89.0,178.0,2.137,112,0.72
2026-07-06 06:15:03+00:00,87,0.5,87.5,175.0,2.127,112,0.72
2026-07-06 06:15:04+00:00,87,0.5,87.5,175.0,2.127,112,0.72
2026-07-06 06:15:05+00:00,88,0.0,88.0,176.0,2.127,112,0.72
2026-07-06 06:15:06+00:00,87,0.5,87.5,175.0,2.137,113,0.73
2026-07-06 06:15:07+00:00,87,0.5,87.5,175.0,2.137,113,0.73
2026-07-06 06:15:08+00:00,87,0.5,87.5,175.0,2.146,113,0.73
2026-07-06 06:15:09+00:00,88,0.0,88.0,176.0,2.155,113,0.73
2026-07-06 06:15:10+00:00,88,0.0,88.0,176.0,2.155,113,0.73
2026-07-06 06:15:11+00:00,88,0.0,88.0,176.0,2.165,114,0.74
2026-07-06 06:15:12+00:00,88,0.0,88.0,176.0,2.174,114,0.74
2026-07-06 06:15:13+00:00,88,0.0,88.0,176.0,2.174,114,0.74
2026-07-06 06:15:14+00:00,88,0.0,88.0,176.0,2.174,114,0.74
2026-07-06 06:15:15+00:00,87,0.0,87.0,174.0,2.174,114,0.74
2026-07-06 06:15:16+00:00,87,0.0,87.0,174.0,2.165,114,0.75
2026-07-06 06:15:17+00:00,88,0.0,88.0,176.0,2.165,114,0.74
2026-07-06 06:15:18+00:00,88,0.0,88.0,176.0,2.165,114,0.74
2026-07-06 06:15:19+00:00,88,0.0,88.0,176.0,2.165,114,0.74
2026-07-06 06:15:20+00:00,88,0.0,88.0,176.0,2.155,114,0.73
2026-07-06 06:15:21+00:00,88,0.0,88.0,176.0,2.155,114,0.73
2026-07-06 06:15:22+00:00,88,0.0,88.0,176.0,2.155,114,0.73
2026-07-06 06:15:23+00:00,88,0.0,88.0,176.0,2.165,114,0.74
2026-07-06 06:15:24+00:00,87,0.0,87.0,174.0,2.165,115,0.75
2026-07-06 06:15:25+00:00,87,0.0,87.0,174.0,2.165,115,0.75
2026-07-06 06:15:26+00:00,88,0.0,88.0,176.0,2.174,115,0.75
2026-07-06 06:15:27+00:00,88,0.0,88.0,176.0,2.174,116,0.74
2026-07-06 06:15:28+00:00,87,0.0,87.0,174.0,2.165,116,0.74
2026-07-06 06:15:29+00:00,87,0.0,87.0,174.0,2.165,116,0.75
2026-07-06 06:15:30+00:00,87,0.0,87.0,174.0,2.165,116,0.75
2026-07-06 06:15:31+00:00,87,0.0,87.0,174.0,2.165,116,0.75
2026-07-06 06:15:32+00:00,86,0.5,86.5,173.0,2.174,116,0.75
2026-07-06 06:15:33+00:00,86,0.5,86.5,173.0,2.174,117,0.75
2026-07-06 06:15:34+00:00,86,0.5,86.5,173.0,2.174,117,0.75
2026-07-06 06:15:35+00:00,86,0.5,86.5,173.0,2.174,117,0.76
2026-07-06 06:15:36+00:00,85,0.5,85.5,171.0,2.183,117,0.76
2026-07-06 06:15:37+00:00,85,0.5,85.5,171.0,2.183,117,0.77
2026-07-06 06:15:38+00:00,86,0.0,86.0,172.0,2.202,117,0.78
2026-07-06 06:15:39+00:00,86,0.0,86.0,172.0,2.202,117,0.77
2026-07-06 06:15:40+00:00,86,0.0,86.0,172.0,2.211,117,0.77
2026-07-06 06:15:41+00:00,86,0.0,86.0,172.0,2.211,117,0.77
2026-07-06 06:15:42+00:00,86,0.0,86.0,172.0,2.221,117,0.77
2026-07-06 06:15:43+00:00,86,0.0,86.0,172.0,2.211,117,0.77
2026-07-06 06:15:44+00:00,87,0.0,87.0,174.0,2.211,118,0.77
2026-07-06 06:15:45+00:00,87,0.0,87.0,174.0,2.211,117,0.76
2026-07-06 06:15:46+00:00,86,0.5,86.5,173.0,2.211,118,0.76
2026-07-06 06:15:47+00:00,86,0.5,86.5,173.0,2.211,118,0.76
2026-07-06 06:15:48+00:00,86,0.5,86.5,173.0,2.221,118,0.77
2026-07-06 06:15:49+00:00,86,0.0,86.0,172.0,2.221,118,0.77
2026-07-06 06:15:50+00:00,86,0.0,86.0,172.0,2.239,118,0.78
2026-07-06 06:15:51+00:00,85,0.5,85.5,171.0,2.239,118,0.79
2026-07-06 06:15:52+00:00,86,0.0,86.0,172.0,2.249,118,0.79
2026-07-06 06:15:53+00:00,87,0.0,87.0,174.0,2.258,118,0.79
2026-07-06 06:15:54+00:00,87,0.0,87.0,174.0,2.267,118,0.78
2026-07-06 06:15:55+00:00,87,0.0,87.0,174.0,2.277,118,0.79
2026-07-06 06:15:56+00:00,86,0.0,86.0,172.0,2.286,119,0.8
2026-07-06 06:15:57+00:00,85,0.0,85.0,170.0,2.295,119,0.81
2026-07-06 06:15:58+00:00,85,0.5,85.5,171.0,2.295,119,0.81
2026-07-06 06:15:59+00:00,86,0.0,86.0,172.0,2.305,119,0.81
2026-07-06 06:16:00+00:00,86,0.0,86.0,172.0,2.305,119,0.8
